model,rmse,mae,qlike,n,ticker
har,0.014988644394226588,0.011045392853302036,-6.033422180494082,2772,GIS
ridge,0.014419780379917804,0.010801708679110029,-6.065812430999602,2772,GIS
rf,0.014456699899029488,0.01067289637923644,-6.064302224783508,2772,GIS
baseline,0.02094032932480677,0.014895299030730016,-5.367422064831172,2772,GOOGL
har,0.019037899077190085,0.013039094239826257,-5.4465080514160915,2772,GOOGL
ridge,0.01858330004005457,0.012552963251313326,-5.462094528252601,2772,GOOGL
rf,0.018538398986985928,0.012539028924283902,-5.469404294916499,2772,GOOGL
baseline,0.02178138456176418,0.014680159466610422,-5.460124193468624,2772,GS
har,0.019838922843343237,0.012874508160778024,-5.49004465477328,2772,GS
ridge,0.019599024414117486,0.012612202178282244,-5.489723576645397,2772,GS
rf,0.019940752179198874,0.012709580948695934,-5.489400642564496,2772,GS
baseline,0.018292326717258684,0.011619161967280562,-5.900301668282502,2772,HD
har,0.016657847120878394,0.010610035605619551,-5.973475876935839,2772,HD
ridge,0.01649421194425734,0.010358732989185623,-5.982846990036863,2772,HD
rf,0.016932962065828356,0.01043882534376543,-5.97786647767416,2772,HD
baseline,0.024979920260087243,0.014030452649052337,-5.705213130006027,2772,HIG
har,0.022503908726135138,0.012639953031485107,-5.79687086632685,2772,HIG
ridge,0.021951355487994206,0.012355766674979568,-5.805522233786147,2772,HIG
rf,0.022983595144676343,0.01233535761783695,-5.778799009374599,2772,HIG
baseline,0.018308179835645318,0.01320549557822016,-5.57871463217076,2772,HLT
har,0.0177949721992585,0.012152325563519962,-5.578764837671657,2772,HLT
ridge,0.016986872246766708,0.011818953525243862,-5.613927017969652,2772,HLT
rf,0.017716870361589795,0.012126037501185257,-5.60319811896341,2772,HLT
baseline,0.017517018350935085,0.011753605756196361,-5.977565053279217,2772,HON
har,0.01636171027518626,0.011365886021743528,-6.080366778334036,2772,HON
ridge,0.015858390329403522,0.010848592306490849,-6.093355851884448,2772,HON
rf,0.016117765365326074,0.01081192531640823,-6.090644242509782,2772,HON
baseline,0.02863976549376426,0.01973840988753721,-4.864476664888328,2772,HPQ
har,0.02611478162214973,0.016704918679394873,-4.914131502385303,2772,HPQ
ridge,0.02553318932858903,0.016377249898701308,-4.968852372208924,2772,HPQ
rf,0.02601880478067606,0.01640629914328068,-4.961794005499902,2772,HPQ
baseline,0.020535010766946093,0.014051966248487419,-5.582919648784225,2772,HRL
har,0.018010279019369073,0.012286011275449043,-5.831909583753194,2772,HRL
ridge,0.017492810366354975,0.011918411748022408,-5.866163994305063,2772,HRL
rf,0.017367884753101144,0.011707502493965417,-5.854468618843234,2772,HRL
baseline,0.020235535479294194,0.012254736857063913,-5.7882397819985085,2772,HSY
har,0.017801479059927863,0.011284981192176748,-5.959619132232447,2772,HSY
ridge,0.017424689328206303,0.010984149286652568,-5.990720789497444,2772,HSY
rf,0.017426440828533313,0.010814749339599057,-5.996491192385474,2772,HSY
baseline,0.02042404605332649,0.014249427337645173,-5.487235104869549,2772,IBM
har,0.018815587519273553,0.01304703369224091,-5.747633658155902,2772,IBM
ridge,0.018442621139684395,0.012499618355327294,-5.752070884686698,2772,IBM
rf,0.01810825893266008,0.012239915025983095,-5.774526744563939,2772,IBM
baseline,0.028626973250871043,0.019211640859475996,-4.859456830000747,2772,IDXX
har,0.025078972242867315,0.016223685172195086,-4.953135203029517,2772,IDXX
ridge,0.02436815754103118,0.01592529548302668,-5.032154711006446,2772,IDXX
rf,0.02428245001037978,0.015605476054438832,-5.030783877112548,2772,IDXX
baseline,0.033937631148519935,0.022031609246976957,-4.788515988086965,2772,INTC
har,0.031200726934004563,0.018364788699808402,-4.71763196986955,2772,INTC
ridge,0.03054032777292526,0.017889460138699274,-4.762671042717427,2772,INTC
rf,0.030819618507238696,0.01809768564072055,-4.7617782459399844,2772,INTC
baseline,0.022677193045773713,0.015660065432567073,-5.222936312061161,2772,INTU
har,0.020794361402577552,0.01381829874120235,-5.309072826011511,2772,INTU
ridge,0.020440246975309474,0.01352640456266996,-5.3436832557715785,2772,INTU
